Assembly Name	Assembly Accession	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Isolate	Organism Infraspecific Names Ecotype	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Submission Date
ASM412075v1	GCF_004120755.1	Salmonella enterica		148_14				From INSDC submitter	4742673	Contig	2019-01-30
ASM412076v1	GCF_004120765.1	Salmonella enterica		189_13				From INSDC submitter	4699593	Contig	2019-01-30
ASM412077v1	GCF_004120775.1	Salmonella enterica		194_17				From INSDC submitter	4625704	Contig	2019-01-30
ASM412078v1	GCF_004120785.1	Salmonella enterica		72_15				From INSDC submitter	4732743	Contig	2019-01-30
ASM412083v1	GCF_004120835.1	Salmonella enterica		166_11				From INSDC submitter	4713338	Contig	2019-01-30
ASM412085v1	GCF_004120855.1	Salmonella enterica		21_17				From INSDC submitter	4594154	Contig	2019-01-30
ASM412163v1	GCF_004121635.1	Salmonella enterica		133_16				From INSDC submitter	4868949	Contig	2019-01-30
ASM412164v1	GCF_004121645.1	Salmonella enterica		112_16				From INSDC submitter	4687576	Contig	2019-01-30
ASM412167v1	GCF_004121675.1	Salmonella enterica		173_17				From INSDC submitter	4723605	Contig	2019-01-30
ASM412171v1	GCF_004121715.1	Salmonella enterica		169_17				From INSDC submitter	4787769	Contig	2019-01-30
ASM413583v1	GCF_004135835.1	Salmonella enterica		FORC_078				From INSDC submitter	4745355	Complete Genome	2019-02-04
ASM422378v2	GCF_004223785.1	Salmonella enterica		CFSAN029871				From INSDC submitter	5159176	Complete Genome	2021-06-07
ASM435422v1	GCF_004354225.1	Salmonella enterica		FDA00009424				From INSDC submitter	4611179	Complete Genome	2019-03-18
ASM435428v1	GCF_004354285.1	Salmonella enterica		FSW0104				From INSDC submitter	4820913	Complete Genome	2019-03-18
ASM468124v1	GCF_004681245.1	Salmonella enterica		SW1				From INSDC submitter	4874058	Scaffold	2019-04-05
ASM478610v1	GCF_004786105.1	Salmonella enterica		C3				From INSDC submitter	5237335	Contig	2019-04-12
ASM505980v1	GCF_005059805.1	Salmonella enterica		SW39				From INSDC submitter	4982827	Contig	2019-04-30
ASM541175v2	GCF_005411755.1	Salmonella enterica		CFSAN008785				From INSDC submitter	5070245	Complete Genome	2021-06-07
ASM553207v2	GCF_005532075.1	Salmonella enterica		CFSAN030601				From INSDC submitter	4709267	Complete Genome	2021-06-07
ASM553289v2	GCF_005532895.1	Salmonella enterica		CFSAN029879				From INSDC submitter	5113066	Complete Genome	2021-06-07
ASM553293v2	GCF_005532935.1	Salmonella enterica		CFSAN029872				From INSDC submitter	5202476	Complete Genome	2021-06-07
ASM553453v2	GCF_005534535.1	Salmonella enterica		CFSAN008812				From INSDC submitter	4943564	Complete Genome	2021-06-07
ASM557659v1	GCF_005576595.1	Salmonella enterica		CFSAN005645				From INSDC submitter	4615193	Complete Genome	2019-05-22
ASM560643v2	GCF_005606435.1	Salmonella enterica		CFSAN029843				From INSDC submitter	5215467	Complete Genome	2021-06-07
ASM560653v2	GCF_005606535.1	Salmonella enterica		CFSAN029894				From INSDC submitter	5061743	Complete Genome	2021-06-07
ASM560803v2	GCF_005608035.1	Salmonella enterica		CFSAN057220				From INSDC submitter	4747185	Complete Genome	2021-08-05
ASM567625v2	GCF_005676255.1	Salmonella enterica		CFSAN024144				From INSDC submitter	4516456	Complete Genome	2021-06-07
ASM578150v1	GCF_005781505.1	Salmonella enterica		H9				From INSDC submitter	4635151	Scaffold	2019-05-22
ASM578156v1	GCF_005781565.1	Salmonella enterica		H8				From INSDC submitter	4694652	Scaffold	2019-05-22
ASM578158v1	GCF_005781585.1	Salmonella enterica		H7				From INSDC submitter	4694027	Scaffold	2019-05-22
ASM578160v1	GCF_005781605.1	Salmonella enterica		H5				From INSDC submitter	4701900	Contig	2019-05-22
ASM578161v1	GCF_005781615.1	Salmonella enterica		H6				From INSDC submitter	4693534	Scaffold	2019-05-22
ASM578163v1	GCF_005781635.1	Salmonella enterica		H46				From INSDC submitter	4725922	Contig	2019-05-22
ASM578166v1	GCF_005781665.1	Salmonella enterica		H45				From INSDC submitter	4637547	Contig	2019-05-22
ASM578167v1	GCF_005781675.1	Salmonella enterica		H44				From INSDC submitter	4693400	Scaffold	2019-05-23
ASM578168v1	GCF_005781685.1	Salmonella enterica		H43				From INSDC submitter	4726786	Scaffold	2019-05-22
ASM578172v1	GCF_005781725.1	Salmonella enterica		H42				From INSDC submitter	4693238	Scaffold	2019-05-22
ASM578173v1	GCF_005781735.1	Salmonella enterica		H41				From INSDC submitter	4727068	Scaffold	2019-05-23
ASM578175v1	GCF_005781755.1	Salmonella enterica		H3				From INSDC submitter	4693575	Scaffold	2019-05-23
ASM578177v1	GCF_005781775.1	Salmonella enterica		H37				From INSDC submitter	4695722	Contig	2019-05-23
ASM578179v1	GCF_005781795.1	Salmonella enterica		H40				From INSDC submitter	4691814	Contig	2019-05-23
ASM578182v1	GCF_005781825.1	Salmonella enterica		H35				From INSDC submitter	4726170	Scaffold	2019-05-23
ASM578183v1	GCF_005781835.1	Salmonella enterica		H36				From INSDC submitter	4636529	Scaffold	2019-05-23
ASM578185v1	GCF_005781855.1	Salmonella enterica		H34				From INSDC submitter	4693449	Scaffold	2019-05-23
ASM578186v1	GCF_005781865.1	Salmonella enterica		H32				From INSDC submitter	4700230	Contig	2019-05-23
ASM578190v1	GCF_005781905.1	Salmonella enterica		H33				From INSDC submitter	4693646	Scaffold	2019-05-23
ASM578192v1	GCF_005781925.1	Salmonella enterica		H31				From INSDC submitter	4700260	Scaffold	2019-05-23
ASM578193v1	GCF_005781935.1	Salmonella enterica		H30				From INSDC submitter	4733569	Scaffold	2019-05-23
ASM578196v1	GCF_005781965.1	Salmonella enterica		H29				From INSDC submitter	4727022	Scaffold	2019-05-23
ASM578197v1	GCF_005781975.1	Salmonella enterica		H2				From INSDC submitter	4693066	Contig	2019-05-23
ASM578200v1	GCF_005782005.1	Salmonella enterica		H28				From INSDC submitter	4726469	Contig	2019-05-23
ASM578201v1	GCF_005782015.1	Salmonella enterica		H26				From INSDC submitter	4770720	Scaffold	2019-05-23
ASM578204v1	GCF_005782045.1	Salmonella enterica		H27				From INSDC submitter	4669025	Scaffold	2019-05-23
ASM578205v1	GCF_005782055.1	Salmonella enterica		H24				From INSDC submitter	4691814	Scaffold	2019-05-23
ASM578206v1	GCF_005782065.1	Salmonella enterica		H25				From INSDC submitter	4734207	Scaffold	2019-05-23
ASM578208v1	GCF_005782085.1	Salmonella enterica		H23				From INSDC submitter	4692700	Scaffold	2019-05-23
ASM578212v1	GCF_005782125.1	Salmonella enterica		H22				From INSDC submitter	4693516	Scaffold	2019-05-23
ASM578214v1	GCF_005782145.1	Salmonella enterica		H21				From INSDC submitter	4721165	Scaffold	2019-05-23
ASM578216v1	GCF_005782165.1	Salmonella enterica		H20				From INSDC submitter	4702548	Contig	2019-05-23
ASM578217v1	GCF_005782175.1	Salmonella enterica		H1				From INSDC submitter	4727374	Scaffold	2019-05-23
ASM578218v1	GCF_005782185.1	Salmonella enterica		H19				From INSDC submitter	4699124	Contig	2019-05-23
ASM578220v1	GCF_005782205.1	Salmonella enterica		H18				From INSDC submitter	4754773	Scaffold	2019-05-23
ASM578224v1	GCF_005782245.1	Salmonella enterica		H17				From INSDC submitter	4692903	Scaffold	2019-05-23
ASM578226v1	GCF_005782265.1	Salmonella enterica		H15				From INSDC submitter	4693554	Scaffold	2019-05-23
ASM578228v1	GCF_005782285.1	Salmonella enterica		H14				From INSDC submitter	4692791	Contig	2019-05-23
ASM578229v1	GCF_005782295.1	Salmonella enterica		H16				From INSDC submitter	4693742	Scaffold	2019-05-23
ASM578230v1	GCF_005782305.1	Salmonella enterica		H13				From INSDC submitter	4693587	Scaffold	2019-05-23
ASM578232v1	GCF_005782325.1	Salmonella enterica		H12				From INSDC submitter	4692453	Scaffold	2019-05-23
ASM578236v1	GCF_005782365.1	Salmonella enterica		H11				From INSDC submitter	4699531	Contig	2019-05-23
ASM578240v1	GCF_005782405.1	Salmonella enterica		H10				From INSDC submitter	4693753	Contig	2019-05-23
ASM593586v2	GCF_005935865.1	Salmonella enterica		CFSAN024219				From INSDC submitter	4871995	Complete Genome	2021-06-07
ASM593608v2	GCF_005936085.1	Salmonella enterica		CFSAN024152				From INSDC submitter	4664770	Complete Genome	2021-06-07
ASM594670v2	GCF_005946705.1	Salmonella enterica		CFSAN029868				From INSDC submitter	4884048	Complete Genome	2021-06-07
ASM597864v2	GCF_005978645.1	Salmonella enterica		CFSAN055400				From INSDC submitter	4593157	Complete Genome	2021-08-05
ASM599176v2	GCF_005991765.1	Salmonella enterica		CFSAN008813				From INSDC submitter	4997605	Complete Genome	2021-06-07
ASM599630v2	GCF_005996305.1	Salmonella enterica		CFSAN057258				From INSDC submitter	4824470	Complete Genome	2021-08-06
ASM599632v2	GCF_005996325.1	Salmonella enterica		CFSAN057252				From INSDC submitter	4780872	Complete Genome	2021-08-06
ASM599646v2	GCF_005996465.1	Salmonella enterica		CFSAN057226				From INSDC submitter	4765133	Complete Genome	2021-08-05
ASM599652v2	GCF_005996525.1	Salmonella enterica		CFSAN057241				From INSDC submitter	4848895	Complete Genome	2021-08-06
ASM601676v2	GCF_006016765.1	Salmonella enterica		CFSAN029855				From INSDC submitter	4786558	Complete Genome	2021-06-07
ASM601917v2	GCF_006019175.1	Salmonella enterica		CFSAN029958				From INSDC submitter	4969982	Complete Genome	2021-05-24
ASM602625v2	GCF_006026255.1	Salmonella enterica		CFSAN038591				From INSDC submitter	4583372	Complete Genome	2021-08-05
ASM602705v2	GCF_006027055.1	Salmonella enterica		CFSAN038580				From INSDC submitter	4583372	Complete Genome	2021-08-05
ASM605105v2	GCF_006051055.1	Salmonella enterica		08-0466				From INSDC submitter	4925620	Complete Genome	2020-05-27
ASM605113v2	GCF_006051135.1	Salmonella enterica		68-4603				From INSDC submitter	4612001	Complete Genome	2020-05-27
ASM609091v2	GCF_006090915.1	Salmonella enterica		CFSAN029943				From INSDC submitter	4845604	Complete Genome	2021-06-07
ASM609857v2	GCF_006098575.1	Salmonella enterica		CFSAN048049				From INSDC submitter	4651096	Complete Genome	2021-06-10
ASM611259v2	GCF_006112595.1	Salmonella enterica		2014K-0203				From INSDC submitter	4629168	Complete Genome	2020-05-27
ASM619928v2	GCF_006199285.1	Salmonella enterica		CFSAN073554				From INSDC submitter	4721400	Complete Genome	2021-06-07
ASM619930v2	GCF_006199305.1	Salmonella enterica		CFSAN073546				From INSDC submitter	4583521	Complete Genome	2021-06-07
ASM631530v2	GCF_006315305.1	Salmonella enterica		CFSAN073553				From INSDC submitter	4520275	Complete Genome	2021-05-28
ASM634486v2	GCF_006344865.1	Salmonella enterica		OSF056662				From INSDC submitter	4812014	Complete Genome	2021-06-07
ASM636475v1	GCF_006364755.1	Salmonella enterica		FDAARGOS_765				From INSDC submitter	4482093	Complete Genome	2019-06-19
ASM636533v1	GCF_006365335.1	Salmonella enterica		FDAARGOS_768				From INSDC submitter	4954783	Complete Genome	2019-06-19
ASM637049v1	GCF_006370495.1	Salmonella enterica		FDAARGOS_609				From INSDC submitter	4832922	Contig	2019-06-17
ASM646128v1	GCF_006461285.1	Salmonella enterica		GSJ/2016-Sal.-015				From INSDC submitter	5014522	Scaffold	2019-06-25
ASM646129v1	GCF_006461295.1	Salmonella enterica		GSJ/2016-Sal.-010				From INSDC submitter	4942227	Scaffold	2019-06-25
ASM646130v1	GCF_006461305.1	Salmonella enterica		GSJ/2016-Sal.-016				From INSDC submitter	4973767	Contig	2019-06-25
ASM646132v1	GCF_006461325.1	Salmonella enterica		GSJ/2016-Sal.-018				From INSDC submitter	5030568	Scaffold	2019-06-25
ASM646132v2	GCF_006461325.2	Salmonella enterica		GSJ/2016-Sal.-018				From INSDC submitter	5093312	Complete Genome	2021-03-08
ASM646136v1	GCF_006461365.1	Salmonella enterica		GSJ/2016-Sal.-012				From INSDC submitter	5021657	Scaffold	2019-06-25
ASM646138v1	GCF_006461385.1	Salmonella enterica		GSJ/2017-Sal.-010				From INSDC submitter	4894769	Contig	2019-06-25
ASM646140v1	GCF_006461405.1	Salmonella enterica		GSJ/2017-Sal.-008				From INSDC submitter	5178328	Contig	2019-06-25
ASM646141v1	GCF_006461415.1	Salmonella enterica		GSJ/2017-Sal.-009				From INSDC submitter	4842985	Contig	2019-06-25
ASM646141v2	GCF_006461415.2	Salmonella enterica		GSJ/2017-Sal.-009				From INSDC submitter	4897518	Complete Genome	2020-07-16
ASM646142v1	GCF_006461425.1	Salmonella enterica		GSJ/2016-Sal.-017				From INSDC submitter	5041482	Scaffold	2019-06-25
ASM646146v1	GCF_006461465.1	Salmonella enterica		GSJ/2017-Sal.-014				From INSDC submitter	4917471	Scaffold	2019-06-25
ASM676096v2	GCF_006760965.1	Salmonella enterica		72-4606				From INSDC submitter	5648353	Complete Genome	2020-05-27
ASM684694v2	GCF_006846945.1	Salmonella enterica		CFSAN024184				From INSDC submitter	4611122	Complete Genome	2021-06-07
ASM684930v2	GCF_006849305.1	Salmonella enterica		CFSAN024230				From INSDC submitter	4907209	Complete Genome	2021-06-07
ASM685828v2	GCF_006858285.1	Salmonella enterica		FDA00008277				From INSDC submitter	4612973	Complete Genome	2021-06-07
ASM686834v2	GCF_006868345.1	Salmonella enterica		CFSAN029856				From INSDC submitter	4723925	Complete Genome	2021-06-07
ASM686840v2	GCF_006868405.1	Salmonella enterica		CFSAN029865				From INSDC submitter	4983948	Complete Genome	2021-06-07
ASM686890v2	GCF_006868905.1	Salmonella enterica		CFSAN029878				From INSDC submitter	4678982	Complete Genome	2021-06-07
ASM686996v2	GCF_006869965.1	Salmonella enterica		CFSAN029891				From INSDC submitter	5039280	Complete Genome	2021-06-07
ASM687000v2	GCF_006870005.1	Salmonella enterica		CFSAN029882				From INSDC submitter	4911611	Complete Genome	2021-06-07
ASM687382v2	GCF_006873825.1	Salmonella enterica		CFSAN029927				From INSDC submitter	4900955	Complete Genome	2021-06-07
ASM693793v1	GCF_006937935.1	Salmonella enterica		SW109084				From INSDC submitter	5110131	Contig	2019-07-12
ASM694838v2	GCF_006948385.1	Salmonella enterica		CFSAN008810				From INSDC submitter	5102196	Complete Genome	2021-06-07
ASM694908v2	GCF_006949085.1	Salmonella enterica		CFSAN008789				From INSDC submitter	5153026	Complete Genome	2021-06-07
ASM694978v2	GCF_006949785.1	Salmonella enterica		CFSAN008783				From INSDC submitter	4953816	Complete Genome	2021-06-07
ASM696756v2	GCF_006967565.1	Salmonella enterica		2010K-2057				From INSDC submitter	5183043	Complete Genome	2020-05-27
ASM696924v1	GCF_006969245.1	Salmonella enterica		MAC15				From INSDC submitter	5052222	Complete Genome	2019-07-15
ASM701904v2	GCF_007019045.1	Salmonella enterica		87-0091				From INSDC submitter	4731255	Complete Genome	2020-05-27
ASM704036v2	GCF_007040365.1	Salmonella enterica		CFSAN057232				From INSDC submitter	4851336	Complete Genome	2021-08-05
ASM704040v2	GCF_007040405.1	Salmonella enterica		CFSAN057240				From INSDC submitter	4735681	Complete Genome	2021-08-06
ASM838629v1	GCF_008386295.1	Salmonella enterica		QH				From INSDC submitter	4890828	Complete Genome	2019-09-16
ASM892386v1	GCF_008923865.1	Salmonella enterica		KW867				From INSDC submitter	4662180	Contig	2019-10-08
ASM892387v1	GCF_008923875.1	Salmonella enterica		KW866				From INSDC submitter	4559079	Contig	2019-10-08
ASM893122v1	GCF_008931225.1	Salmonella enterica		S61394				From INSDC submitter	5210346	Complete Genome	2019-10-09
ASM893124v1	GCF_008931245.1	Salmonella enterica		S44712				From INSDC submitter	5226840	Complete Genome	2019-10-09
ASM902598v1	GCF_009025985.1	Salmonella enterica		KW865				From INSDC submitter	4691248	Contig	2019-10-08
ASM938968v1	GCF_009389685.1	Salmonella enterica		DR-039				From INSDC submitter	4928760	Contig	2019-10-29
ASM949593v1	GCF_009495935.1	Salmonella enterica		Kentucky SRC73				From INSDC submitter	4779603	Contig	2019-11-02
ASM964819v1	GCF_009648195.1	Salmonella enterica		MY6				From INSDC submitter	4719382	Scaffold	2019-11-10
ASM972989v1	GCF_009729895.1	Salmonella enterica		FDAARGOS_710				From INSDC submitter	4611029	Complete Genome	2019-12-05
ASM972991v1	GCF_009729915.1	Salmonella enterica		FDAARGOS_708				From INSDC submitter	5136727	Complete Genome	2019-12-05
ASM972993v1	GCF_009729935.1	Salmonella enterica		FDAARGOS_707				From INSDC submitter	4556079	Complete Genome	2019-12-05
ASM972995v1	GCF_009729955.1	Salmonella enterica		FDAARGOS_688				From INSDC submitter	4633945	Complete Genome	2019-12-05
ASM972997v1	GCF_009729975.1	Salmonella enterica		FDAARGOS_687				From INSDC submitter	5066398	Complete Genome	2019-12-05
ASM973001v1	GCF_009730015.1	Salmonella enterica		FDAARGOS_712				From INSDC submitter	4670417	Complete Genome	2019-12-05
ASM973926v1	GCF_009739265.1	Salmonella enterica		DR-040				From INSDC submitter	4941333	Contig	2019-12-10
ASM982125v1	GCF_009821255.1	Salmonella enterica		SC114				From INSDC submitter	4968896	Contig	2019-12-31
ASM982128v1	GCF_009821285.1	Salmonella enterica		SC112				From INSDC submitter	4935231	Contig	2019-12-31
ASM982129v1	GCF_009821295.1	Salmonella enterica		SC113				From INSDC submitter	4968804	Contig	2019-12-31
ASM982132v1	GCF_009821325.1	Salmonella enterica		SC111				From INSDC submitter	4828326	Contig	2019-12-31
ASM982141v1	GCF_009821415.1	Salmonella enterica		SC103				From INSDC submitter	5020011	Contig	2019-12-31
ASM993051v1	GCF_009930515.1	Salmonella enterica		17E564				From INSDC submitter	5016686	Contig	2020-01-24
ASM993052v1	GCF_009930525.1	Salmonella enterica		16E367				From INSDC submitter	5116493	Contig	2020-01-24
ASM993053v1	GCF_009930535.1	Salmonella enterica		16E229				From INSDC submitter	5008327	Contig	2020-01-24
ASM993057v1	GCF_009930575.1	Salmonella enterica		16E080				From INSDC submitter	5163718	Chromosome	2020-01-24
ASM993059v1	GCF_009930595.1	Salmonella enterica		16E078				From INSDC submitter	5080814	Contig	2020-01-24
ASM993060v1	GCF_009930605.1	Salmonella enterica		16E067				From INSDC submitter	5167067	Contig	2020-01-24
ASM993061v1	GCF_009930615.1	Salmonella enterica		15E475				From INSDC submitter	5098304	Contig	2020-01-24
ASM993065v1	GCF_009930655.1	Salmonella enterica		15E464				From INSDC submitter	5141022	Contig	2020-01-24
ASM993067v1	GCF_009930675.1	Salmonella enterica		15E434				From INSDC submitter	5145105	Chromosome	2020-01-24
ASM1007837v1	GCF_010078375.1	Salmonella enterica		15E059				From INSDC submitter	5031186	Scaffold	2020-01-31
ASM1106573v1	GCF_011065735.1	Salmonella enterica		Z&Z05S				From INSDC submitter	4998557	Contig	2020-03-06
ASM1106574v1	GCF_011065745.1	Salmonella enterica		Z&Z04S				From INSDC submitter	5093660	Contig	2020-03-06
ASM1106581v1	GCF_011065815.1	Salmonella enterica		Z&Z03S				From INSDC submitter	4969570	Contig	2020-03-06
ASM1106583v1	GCF_011065835.1	Salmonella enterica		Z&Z02S				From INSDC submitter	4986231	Contig	2020-03-06
ASM1106586v1	GCF_011065865.1	Salmonella enterica		Z&Z01S				From INSDC submitter	4969361	Contig	2020-03-06
ASM1175110v1	GCF_011751105.1	Salmonella enterica		SEH-19				From INSDC submitter	4709737	Contig	2020-03-25
ASM1175117v1	GCF_011751175.1	Salmonella enterica		SEH-19				From INSDC submitter	4710808	Contig	2020-03-25
ASM1227327v1	GCF_012273275.1	Salmonella enterica		FDAARGOS_686				From INSDC submitter	4647334	Chromosome	2020-04-12
ASM1227347v1	GCF_012273475.1	Salmonella enterica		FDAARGOS_709				From INSDC submitter	4845495	Chromosome	2020-04-12
ASM1284443v1	GCF_012844435.1	Salmonella enterica		SAL5				From INSDC submitter	4599865	Contig	2020-04-26
ASM1313550v1	GCF_013135505.1	Salmonella enterica		VL-0618-3				From INSDC submitter	4811001	Contig	2020-05-20
ASM1316162v1	GCF_013161625.1	Salmonella enterica		2011K-1440				From INSDC submitter	4888815	Complete Genome	2020-05-25
ASM1316180v1	GCF_013161805.1	Salmonella enterica		2012K-0845				From INSDC submitter	5076106	Complete Genome	2020-05-25
ASM1316202v1	GCF_013162025.1	Salmonella enterica		94-0093				From INSDC submitter	4796443	Complete Genome	2020-05-25
ASM1316248v1	GCF_013162485.1	Salmonella enterica		2014K-1020				From INSDC submitter	4505366	Complete Genome	2020-05-25
ASM1334886v1	GCF_013348865.1	Salmonella enterica		85-0120				From INSDC submitter	5126632	Complete Genome	2020-06-17
ASM1336449v1	GCF_013364495.1	Salmonella enterica		FDAARGOS_717				From INSDC submitter	4975130	Chromosome	2020-06-22
ASM1336451v1	GCF_013364515.1	Salmonella enterica		FDAARGOS_718				From INSDC submitter	4801768	Chromosome	2020-06-22
ASM1340173v1	GCF_013401735.1	Salmonella enterica		UPMP2115				From INSDC submitter	4724708	Contig	2020-07-11
ASM1341592v1	GCF_013415925.1	Salmonella enterica		SRC27				From INSDC submitter	5259233	Complete Genome	2020-07-15
ASM1430621v1	GCF_014306215.1	Salmonella enterica		1961				From INSDC submitter	5170746	Contig	2020-08-26
ASM1430623v1	GCF_014306235.1	Salmonella enterica		1240				From INSDC submitter	5171680	Contig	2020-08-26
ASM1430625v1	GCF_014306255.1	Salmonella enterica		1243				From INSDC submitter	5173410	Contig	2020-08-26
ASM1430627v1	GCF_014306275.1	Salmonella enterica		1895				From INSDC submitter	5171004	Contig	2020-08-26
ASM1430628v1	GCF_014306285.1	Salmonella enterica		1883				From INSDC submitter	5171781	Contig	2020-08-26
ASM1430631v1	GCF_014306315.1	Salmonella enterica		4				From INSDC submitter	5152156	Contig	2020-08-26
ASM1430632v1	GCF_014306325.1	Salmonella enterica		1667				From INSDC submitter	5174220	Contig	2020-08-26
